# Hungarian Wordnet	hu	http://www.racai.ro/tools/text/rowordnet-visualizer/	CC BY SA 
07688426-n	hun:def	0	A korlátolt felelősségű társaság a tagok előre meghatározott összegű törzsbetéteiből álló törzstőkével alakuló gazdasági társaság, amelynél a társasággal szemben a tag kötelezettsége csak a társasági szerződésben vállalt vagyoni hozzájárulás szolgáltatására terjed ki, a társaság tartozásaiért a tag az alábbiakban bemutatott kivételekkel nem felel.
02310945-v	hun:lemma	nlofficiate
02310945-v	hun:lemma	(Hivatalos személyként lép fel valamilyen aktusnál, ceremóniánál (pl. esküvő))
05712581-n	hun:lemma	madártan
05712581-n	hun:lemma	ornitológia
05712581-n	hun:def	0	Az állattannak a madarakkal foglalkozó ága.
07989481-n	hun:lemma	Camlan
07989481-n	hun:def	0	Az Artúr-legendákban az a csatatér, ahol Artúr király halálosan megsebesült.
02353624-n	hun:lemma	menyétféle
02353624-n	hun:def	0	Bundás, húsevő emlősök.
01168547-a	hun:lemma	végső
01168547-a	hun:lemma	legvégső
01168547-a	hun:def	0	Tovább nem fokozható, szélső.
09326003-n	hun:lemma	fegyenc
09326003-n	hun:lemma	elítélt
09326003-n	hun:lemma	börtöntöltelék
09326003-n	hun:def	0	Fegyházban, börtönben ítéletét töltő személy.
09870905-n	hun:lemma	diáklány
09870905-n	hun:lemma	iskolás lány
09870905-n	hun:def	0	Iskolába járó lánygyerek.
01362532-n	hun:lemma	Cyprinidae
01362532-n	hun:lemma	pontyfélék családja
01362532-n	hun:def	0	A pontyfélék családjába tartozik a ponty, a compó, a bodorka, a vörösszárnyú keszeg, a domolykó.
13687392-n	hun:lemma	környezet
13687392-n	hun:lemma	miliő
13687392-n	hun:def	0	A valakit, valamit körülvevő (természeti) tárgyak összessége.
04599689-n	hun:lemma	bűnösség
04599689-n	hun:lemma	romlottság
04599689-n	hun:def	0	Elidegenedés Istentől.
06494797-n	hun:lemma	azték
06494797-n	hun:def	0	Uto-azték nyelvek törzsébe tartozó nyelv.
09669673-n	hun:lemma	csámcsogó
09669673-n	hun:def	0	Hangosan, csettenő hangokat hallatva evő személy.
00564948-n	hun:lemma	elnöki tisztség
00564948-n	hun:lemma	elnökség
00564948-n	hun:def	0	Elnök hivatala és funkciója.
08423125-n	hun:lemma	Lima
08423125-n	hun:def	0	Peru fővárosa, a 19. századik a spanyol birodalom újvilági központja.
02844740-n	hun:lemma	fémdoboz
02844740-n	hun:def	0	Fémből készült fedeles doboz, különféle táplálékok (például tea, liszt) szárazon tárolására használják.
02397606-v	hun:lemma	bejegyez
02397606-v	hun:lemma	beír
02397606-v	hun:def	0	Emlékeztetőül valahova beír valamit.
05997530-n	hun:lemma	lényeg
05997530-n	hun:def	0	Beszéd, írásmű legfontosabb tartalmi elemeinek az összege.
09124759-n	hun:lemma	kaliforniai
09124759-n	hun:def	0	Kalifornia állam lakója.
00685853-a	hun:lemma	parlamentáris
00685853-a	hun:lemma	országgyűlési
00685853-a	hun:def	0	Olyan rendszerre jellemző, ahol a legfőbb törvényhozó hatalmat a parlamentből választott miniszterekből álló kormány gyakorolja.
04754547-n	hun:lemma	elasztikusság
04754547-n	hun:lemma	ruganyosság
04754547-n	hun:def	0	Valaminek vagy valakinek rugalmas volta.
00121007-v	hun:lemma	válik
00121007-v	hun:lemma	lesz
00121007-v	hun:lemma	fordul
00121007-v	hun:def	0	Valamely új tulajdonságot vesz fel, tulajdonságúnak kezd látszani.
00049968-b	hun:lemma	azonnal
00049968-b	hun:def	0	Közvetlenül a kijelentés vagy a szóban forgó esemény után; rögtön.
00366680-a	hun:lemma	levendulaszínű
00366680-a	hun:def	0	Levendula színével megegyező, halványlila.
12648254-n	hun:lemma	könyvkövetelés
12648254-n	hun:def	0	A hitelezőnek fizetendő könyvelt tartozás.
00213509-b	hun:lemma	szabadon
00213509-b	hun:def	0	Szabad módon.
13935306-n	hun:lemma	antacid
13935306-n	hun:def	0	Savlekötő szer.
08375417-n	hun:lemma	Ez-Zarka
08375417-n	hun:def	0	Város Jordánia északnyugati részén.
00370361-a	hun:lemma	borszínű
00370361-a	hun:def	0	A bor színével megegyező.
05394998-n	hun:lemma	osztályozási rendszer
05394998-n	hun:def	0	Dolgok kategóriába sorolásához használt szisztéma.
01440949-n	hun:lemma	Struthionidae
01440949-n	hun:lemma	struccfélék családja
01440949-n	hun:def	0	Strucchoz hasonló állatok családja.
05829433-n	hun:lemma	vakbuzgóság
05829433-n	hun:lemma	bigottság
05829433-n	hun:lemma	dogmatizmus
05829433-n	hun:lemma	fanatizmus
05829433-n	hun:lemma	elvakultság
05829433-n	hun:def	0	Más nézetűekkel szembeni türelmetlenség, intolerancia.
09097489-n	hun:lemma	athéni
09097489-n	hun:def	0	Athén lakója.
11954057-n	hun:lemma	sóskaféle
11954057-n	hun:def	0	Az Oxalis nemzetséghez tartozó növények.
06100986-n	hun:lemma	írásos feljegyzés
06100986-n	hun:lemma	írásos dokumentum
06100986-n	hun:lemma	írott feljegyzés
06100986-n	hun:lemma	írott dokumentum
06100986-n	hun:def	0	Tényeket, eseményket megörökítő írásos anyag.
09928366-n	hun:lemma	szociológus
09928366-n	hun:lemma	társadalomkutató
09928366-n	hun:def	0	Szociológiával foglalkozó szakember.
02987448-a	hun:lemma	összenyomódott
02987448-a	hun:lemma	összezúzódott
02987448-a	hun:lemma	szétlapított
02987448-a	hun:def	0	Valamire jellemző, amit erőteljesen összelapítottak, összepréseltek.
12675412-n	hun:lemma	(kimaródás, korrózió, rongáló hatás kezdete)
00576141-n	hun:lemma	fazekasmesterség
00576141-n	hun:lemma	fazekasság
00576141-n	hun:def	0	Cserépedényeket készítő kézműves mestersége.
07579589-n	hun:lemma	műanyagipar
07579589-n	hun:def	0	Olyan iparág, amely műanyag termékeket állít elő.
03154257-n	hun:lemma	elektromotor
03154257-n	hun:lemma	villanymotor
03154257-n	hun:def	0	Villamos energiát mozgási energiává alakító gép.
08238754-n	hun:lemma	Massawa
08238754-n	hun:def	0	Kikötőváros Eritreiában.
01503996-v	hun:lemma	felállít
01503996-v	hun:def	0	Álló helyzetbe hoz.
01016390-a	hun:lemma	szabad
01016390-a	hun:def	0	Tetszés szerinti cselekvésre képes; nem gátolt; kényszer, korlátozás alatt nem álló.
08362998-n	hun:lemma	Kerbala
08362998-n	hun:lemma	Karbala
08362998-n	hun:lemma	Kerbela
08362998-n	hun:def	0	Közép-iraki város, Mohamed unokájának sírja van itt.
04317754-n	hun:lemma	gumibot
04317754-n	hun:def	0	Kemény gumiból való, kb. fél méter hosszú bot mint rendőrségi fenyítőeszköz.
01211847-a	hun:lemma	heves
01211847-a	hun:def	0	Nagy érzelmi erejű.
01335840-a	hun:lemma	nagy
01335840-a	hun:def	0	Jelentékeny kiterjedésű, jókora terjedelmű.
01046227-v	hun:lemma	nlplay
08397815-n	hun:lemma	Izland
08397815-n	hun:def	0	Az Atlanti-óceán északi részén, Grönland és Skócia között, a Feröer szigetektől északnyugatra található sziget.
06918814-n	hun:lemma	emelés
06918814-n	hun:lemma	felemelkedés
06918814-n	hun:lemma	megemelkedés
06918814-n	hun:def	0	Magasabbra kerülés.
01144232-v	hun:lemma	felszolgál
01144232-v	hun:lemma	feltálal
01144232-v	hun:lemma	tálal
01144232-v	hun:def	0	Ételt, italt a fogyasztók elé tesz.
07030269-n	hun:lemma	szerelem
07030269-n	hun:def	0	A szeretett személy iránti vágyban és odaadásban megnyilatkozó, nemi vonzalmon alapuló érzelem.
08285646-n	hun:lemma	Yukon
08285646-n	hun:def	0	Tartomány Kanada északnyugati részén, ahol az 1890-es években tombolt az aranyláz.
14364156-n	hun:lemma	szorgalmi időszak
14364156-n	hun:def	0	A tanintézeti oktatás azon időszaka, melyben tartanak órákat.
14267067-n	hun:lemma	folytonosság
14267067-n	hun:lemma	kontinuum
14267067-n	hun:def	0	Vminek az az állapota, tulajdonsága, hogy folytonos.
01246236-v	hun:lemma	tnluntie
01172321-n	hun:lemma	munkavállalói megmozdulás
01172321-n	hun:def	0	Munkások időszakos mozgalma, valamely munkaadói lépésre adott tiltakozás
06558440-n	hun:lemma	gidder
06558440-n	hun:def	0	Csád nyelv.
01206061-a	hun:lemma	izzó
01206061-a	hun:def	0	Hőséget árasztó, forró.
08529430-n	hun:lemma	Annapolis
08529430-n	hun:def	0	Maryland fővárosa, a Egyesült Államok Haditengerészeti Akadémiájának helye.
01943890-v	hun:lemma	hajszol
01943890-v	hun:lemma	kerget
01943890-v	hun:lemma	űz
01943890-v	hun:lemma	üldöz
01943890-v	hun:def	0	Futásra, menekülésre késztet valakit, valamit, illetve fut utána, hogy elfogja.
03287919-n	hun:lemma	akasztófa
03287919-n	hun:lemma	bitó
03287919-n	hun:lemma	bitófa
03287919-n	hun:def	0	Gerendából szerkesztett alkotmány, amelyre a halálraítélteket felakasztják
01254054-v	hun:lemma	földel
01254054-v	hun:def	0	Áramkört, vezetéket üzembiztonsági céllal a földdel összeköt.
02826761-n	hun:lemma	kabriolet
02826761-n	hun:def	0	Egylovas, kétkerekű, kétüléses, könnyű kocsi lehúzható vászontetővel.
06556999-n	hun:lemma	zaar
06556999-n	hun:def	0	Csád nyelv.
02286877-n	hun:lemma	Perissodactyla
02286877-n	hun:lemma	páratlanujjú patások rendje
02286877-n	hun:def	0	Nem kérődző patások: lovak, tapírok, orrszarvúk, illetve kihalt fajok.
03850171-n	hun:lemma	nyomásmérő
03850171-n	hun:def	0	Gáz vagy folyadék nyomásának mérésére való készülék.
00093837-b	hun:lemma	rövid ideig
00093837-b	hun:def	0	Nem túl hosszú időn keresztül.
01820066-v	hun:lemma	beszűrődik
01820066-v	hun:def	0	Folyadék, gáz, hang, fény stb. vmin áthatolva kis mennyiségben bejut vhova.
01649807-v	hun:lemma	ír
01649807-v	hun:def	0	Irodalmi művet létrehoz.
01245172-n	hun:lemma	darab
01245172-n	hun:def	0	Egy darab a háziállatok közül.
08083098-n	hun:lemma	Redwood Nemzeti Park
08083098-n	hun:def	0	Kaliforniai nemzeti park vörösfenyőkkel és csendes-óceáni partvonallal.
12559610-n	hun:lemma	fogyasztási adó
12559610-n	hun:def	0	Az üzleti tevékenység mértékén alapuló adó.
02397243-v	hun:lemma	felvesz
02397243-v	hun:lemma	beléptet
02397243-v	hun:def	0	Szervezet valakit tagjául fogad.
00411769-b	hun:lemma	közelebb
00411769-b	hun:def	0	A közel középfoka.
03008531-n	hun:lemma	feldolgozás
03008531-n	hun:def	0	Egy dal új változata.
01796771-v	hun:lemma	mozgat
01796771-v	hun:def	0	Odahat, hogy valami mozogjon konkrét és absztrakt értelemben is.
05171865-n	hun:lemma	kéregállomány
05171865-n	hun:def	0	A cerebral cortexet (az agykérget) felépítő egységek összessége.
14142948-n	hun:lemma	polimer
14142948-n	hun:def	0	Polimerizáció útján keletkező óriásmolekulájú anyag.
06017288-n	hun:lemma	munkafüzet
06017288-n	hun:def	0	Tanulók számára egy témában összeállított feladatokat tartalmazó kiadvány.
08310878-n	hun:lemma	Sao Paulo
06129345-n	hun:lemma	törvény
06129345-n	hun:def	0	Egy bizonyos tevékenységet irányító szabályokat kifejtő hivatalos dokumentum.
08410351-n	hun:lemma	Málta
08410351-n	hun:def	0	Szigetország Dél-Európában, a Földközi-tenger középső részén.
11145995-n	hun:lemma	viola
11145995-n	hun:def	0	Illatos, lila, rózsaszín vagy fehér virágú kerti növény.
08174147-n	hun:lemma	Djanet
08174147-n	hun:def	0	Sivatagi város Délkelet-Algériában.
